DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2000/01/17,22:38:38,20,254.9159,s,176
2000/01/17,22:39:01,2,373.9036,s,177
2000/01/17,22:39:08,13,396.3312,s,178
2000/01/17,22:39:16,39,9204.709,s,179
2000/01/17,22:39:20,1,831.1893,s,180
2000/01/17,22:39:34,20,1563.2709,s,181
2000/01/17,22:40:18,2,1833.5697,s,182
2000/01/17,22:40:23,2,658.4843,s,183
2000/01/17,22:40:38,28,10507.5449,s,184
2000/01/17,22:40:48,23,9479.3154,s,185
2000/01/17,22:40:55,9,4729.8604,s,186
2000/01/17,22:41:14,34,7196.4419,s,187
2000/01/17,22:42:23,3,1227.9067,s,188
2000/01/17,22:43:59,5,2680.3679,s,189
2000/01/17,22:44:32,5,2989.3635,s,190
2000/01/17,22:44:46,4,3205.5869,s,191
2000/01/17,22:44:52,17,5123.5752,s,192
2000/01/17,22:45:05,72,5762.1035,s,193
2000/01/17,22:46:36,17,8860.4463,s,194
2000/01/17,22:46:41,2,405.0837,s,195
2000/01/17,22:47:50,38,5766.2285,s,196
2000/01/17,22:53:28,24,1676.8754,s,197
2000/01/17,22:53:50,18,3166.5291,s,198
2000/01/17,22:54:26,31,5954.2715,s,199
2000/01/17,22:54:46,10,3286.4971,s,200
2000/01/17,22:54:51,23,2108.3684,s,201
2000/01/17,22:55:06,1,265.2863,s,202
2000/01/17,22:55:12,2,1104.5259,s,203
2000/01/17,22:55:25,5,1730.7542,s,204
2000/01/17,22:56:11,5,2011.113,s,205
2000/01/17,22:56:46,2,651.205,s,206
2000/01/17,22:57:03,40,4160.6021,s,207
2000/01/17,22:59:34,5,3481.6609,s,208
2000/01/17,23:00:07,14,1993.9451,s,209
2000/01/17,23:00:10,9,4711.7021,s,210
2000/01/17,23:01:54,3,3247.0715,s,211
2000/01/17,23:04:15,4,1892.9484,s,212
2000/01/17,23:09:44,2,2012.2324,s,213
2000/01/17,23:10:27,1,197.509,s,214
2000/01/17,23:12:20,3,2225.9741,s,215
2000/01/17,23:33:53,2,2530.6665,s,216
2000/01/17,23:35:54,1,355.5025,s,217
2000/01/17,23:42:32,4,2086.9365,s,218
2000/01/17,23:43:00,20,8580.3262,s,219
2000/01/17,23:43:11,7,3070.1729,s,220
2000/01/17,23:43:18,3,1741.1486,s,221
2000/01/17,23:47:44,17,2720.9482,s,222
2000/01/17,23:47:56,1,129.8904,s,223
2000/01/17,23:47:57,2,1388.2344,s,224
2000/01/17,23:48:37,1,845.6411,s,225
2000/01/17,23:48:59,4,3118.0701,s,226
